ticker,as_of_date,maturity_years,asset_value_proxy,debt_face_value,mu_physical,sigma_asset_proxy,risk_free_rate,Distance_to_Default,PD_physical,PD_risk_neutral,Distance_to_Default_Merton_Jump,PD_Merton_Jump_physical,PD_Merton_Jump_risk_neutral,MertonJump_lambda,MertonJump_muJ,MertonJump_sigmaJ
T,2025-12-31,5.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.549775357596115,0.0053896175267458876,0.05033272163004983,1.475279885128813,0.07006865600016877,0.16397997771496306,5.0,-0.05,0.1
F,2025-12-31,1.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.702592920076785,0.044322137968025234,0.21744842130700526,1.2761140017468573,0.100957611356569,0.27537864462463485,5.0,-0.05,0.1
F,2025-12-31,3.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.9861142783052654,0.02351031810034331,0.3484196194359996,1.4451094328816632,0.0742135749126903,0.403878749059587,5.0,-0.05,0.1
F,2025-12-31,5.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,2.31545230795611,0.010294095855208253,0.3996128904307819,1.6666379328817866,0.0477932106959647,0.45657080013773493,5.0,-0.05,0.1
UAL,2025-12-31,1.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,1.3130462708276165,0.094583678495962,0.12054859796220735,1.1485045615886467,0.1253801654926729,0.14842037521025553,5.0,-0.05,0.1
UAL,2025-12-31,3.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.6746462921208701,0.24995025726997483,0.33331495149906537,0.5333882705130085,0.29688241765746415,0.3655553432339511,5.0,-0.05,0.1
UAL,2025-12-31,5.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.4579453977512557,0.32349583509368685,0.44310062733264677,0.31068966300821566,0.3780182781767396,0.4745132758478664,5.0,-0.05,0.1
AMZN,2025-12-31,1.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,8.247445080355828,8.090841218312495e-17,7.054534596310021e-17,5.690811370831409,6.321856114743888e-09,4.11737599594489e-09,5.0,-0.05,0.1
AMZN,2025-12-31,3.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,4.669619725532488,1.5087889746717635e-06,1.313793023259403e-06,3.505167290780036,0.0002281602263332567,0.00016181805872141978,5.0,-0.05,0.1
AMZN,2025-12-31,5.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,3.5457742039692195,0.00019573073893995753,0.00017024184138278222,2.6502018031819294,0.004022185256780717,0.0029328631466019666,5.0,-0.05,0.1
KO,2025-12-31,1.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,12.377592889261944,1.7277587782770368e-35,2.669551619718692e-32,5.281534364132038,6.405322378823109e-08,1.2904042332057065e-07,5.0,-0.05,0.1
KO,2025-12-31,3.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,7.986307149682394,6.952050160343801e-16,1.9580726854785413e-12,3.9235309792745836,4.3630269348556765e-05,0.00019691035608341708,5.0,-0.05,0.1
KO,2025-12-31,5.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,6.836906015725306,4.046089535195004e-12,2.0515571862043515e-08,3.428772751428845,0.00030315848354035634,0.0020406651949433675,5.0,-0.05,0.1
